Feature,Gain,Cover,Frequency
kinas,0.0580360402480656,0.0265865133463078,0.00829777145566619
Variation,0.044718580161919,0.0287151858311741,0.0452821242294926
function,0.0303174296369414,0.0228735232304604,0.00687529634898056
cell,0.0280067586277363,0.0105078020510667,0.00331910858226648
suppressor,0.016899227943662,0.0100288173804717,0.00545282124229493
oncogen,0.00917166744722384,0.0089435122468226,0.00497866287339972
protein,0.0077242092905861,0.00763136616537225,0.00260787102892366
inactiv,0.00760348974580697,0.00621133068000654,0.00331910858226648
therapi,0.00696503521754039,0.00365938121998035,0.00213371266002845
patient,0.00656429616843517,0.00238435307530254,0.00331910858226648
activ,0.00601100177153477,0.00456778652074535,0.00308202939781887
variant,0.00583050868698785,0.00544105249066119,0.00237079184447606
known,0.00569442832483589,0.000851226642152643,0.00165955429113324
cooccurr,0.00569372180032549,0.00198614879344459,0.000474158368895211
nonsens,0.00559081154579144,0.00692011009459867,0.00237079184447606
sfb,0.00535984937942259,0.00483300324043582,0.00237079184447606
inhibitor,0.0050123767967464,0.00434027504193065,0.00237079184447606
clinic,0.00478511561806846,0.00362888651661058,0.00284495021337127
tyrosin,0.00459506835570561,0.00252700225118949,0.00118539592223803
enhanc,0.00453097909971662,0.00178152181649736,0.00118539592223803
bind,0.00401056941629692,0.00190424527848707,0.00142247510668563
delet,0.00389426477960375,0.00186609220414292,0.0042674253200569
lossoffunct,0.00376979291099317,0.00164369329139472,0.00142247510668563
sensit,0.00374627486789983,0.00194210800179167,0.00213371266002845
cosegreg,0.00343502167257888,0.00112092845957608,0.000948316737790422
model,0.00332658321179253,0.00128504168998926,0.00260787102892366
next,0.00319410899598711,0.00264345229504012,0.00142247510668563
linker,0.00319076257570752,0.00139565869601306,0.000711237553342817
affect,0.00318082207168148,0.00126180500349054,0.00142247510668563
missens,0.00316232974973605,0.00659303454830337,0.00379326695116169
potenti,0.00314586259502951,0.00132429081535397,0.00142247510668563
transmembran,0.00311089746270105,0.00114234110112708,0.00142247510668563
pathogen,0.00306837460636101,0.00470978370649492,0.00118539592223803
abolish,0.0030466354910528,0.0010516807027928,0.00142247510668563
fulllength,0.00299347865773746,0.00338323325062318,0.00142247510668563
month,0.0029485939038808,0.00324414033438689,0.000948316737790422
frameshift,0.00293602568554265,0.00239921374850546,0.00142247510668563
kras,0.00292771401634849,0.00114931348269008,0.000948316737790422
phosphoryl,0.00289305690086323,0.00047213715240091,0.00118539592223803
therapeut,0.0028420579256585,0.00244921706507138,0.00165955429113324
fusion,0.00279303495681231,0.00302836290677028,0.00142247510668563
amplif,0.00268133143047755,0.00481312631710702,0.00237079184447606
confer,0.0025842695804961,0.00154113418232019,0.000711237553342817
efficaci,0.00256824226340041,0.00364044281923614,0.00118539592223803
mechan,0.00254685380003517,0.00243568956367144,0.00189663347558084
loss,0.00253899066949262,0.0032229783397165,0.00260787102892366
maintain,0.00252155073842815,0.000377773800660688,0.000948316737790422
sequenc,0.0025132573414196,0.000765121226391948,0.000711237553342817
base,0.00250292398540285,0.0019654844579716,0.000948316737790422
suggest,0.00247568755253706,0.00235838563520651,0.00260787102892366
downstream,0.00247477742367267,0.00391247425403222,0.00213371266002845
truncat,0.00245111798866684,0.00311948583785312,0.00237079184447606
recombin,0.00244541445644305,0.00319614808177928,0.00213371266002845
deleteri,0.00243683479519321,0.00179889744682302,0.00118539592223803
effici,0.00241555509483757,0.000548818213245973,0.000474158368895211
usag,0.00241011911961741,0.00231402785438191,0.000711237553342817
homozyg,0.00240832975058336,0.00354271082494862,0.00213371266002845
factor,0.00233644001154535,0.000861930363524916,0.00142247510668563
pathway,0.00233382578384644,0.00189505489286499,0.00118539592223803
surfac,0.00231864681822568,0.00161528326340195,0.00118539592223803
respond,0.00224911810660022,0.00224701615945884,0.00118539592223803
Gene,0.00224858046929113,0.00459157018609199,0.00403034613560929
wildtyp,0.00222020367802222,0.00251680016863195,0.00142247510668563
associ,0.0022016695910811,0.00275089508467621,0.00213371266002845
earlyonset,0.00218417875892814,0.00100502820100871,0.000237079184447606
mdm,0.00215961311052626,0.000744378218715252,0.000711237553342817
observ,0.0021497765839374,0.00071456881464982,0.000711237553342817
defect,0.00212650608545392,0.00413134625968296,0.00284495021337127
need,0.002015525180555,0.001279340462609,0.00165955429113324
presenc,0.00201506272023815,0.00278958692559438,0.00165955429113324
somat,0.00198679869445759,0.00116648472631106,0.000948316737790422
